"ID","Group","Subject","Initials","Condition","Item number","Block","Trial","Audio stimuli","Reaction time","Accuracy","Target response","Participant response","Response type"
"C,2,MC","C","2","MC","NonNative","14","1","4","Ba5-Pa4","3857.80",1,"Different","Different","Hit"
"C,2,MC","C","2","MC","NonNative","12","1","2","Ba2-Ba3","3519.62",1,"Same","Same","CR"
"C,2,MC","C","2","MC","NonNative","13","1","3","Pa2-Ba2","3404.96",1,"Different","Different","Hit"
"C,2,MC","C","2","MC","NonNative","11","1","1","Pa2-Pa4","3136.91",1,"Same","Same","CR"
"C,2,MC","C","2","MC","NonNative","43","4","3","Pa2-Ba3","-3149.60",0,"Different","Same","Miss"
"C,2,MC","C","2","MC","NonNative","44","4","4","Ba3-Pa4","-2822.41",0,"Different","Same","Miss"
"C,2,MC","C","2","MC","NonNative","42","4","2","Ba5-Ba3","3024.89",1,"Same","Same","CR"
"C,2,MC","C","2","MC","NonNative","41","4","1","Pa5-Pa4","2776.56",1,"Same","Same","CR"
"C,2,MC","C","2","MC","NonNative","32","3","2","Ba3-Ba2","3090.13",1,"Same","Same","CR"
"C,2,MC","C","2","MC","NonNative","33","3","3","Pa5-Ba5","-3061.53",0,"Different","Same","Miss"
"C,2,MC","C","2","MC","NonNative","34","3","4","Ba2-Pa2","-3262.02",0,"Different","Same","Miss"
"C,2,MC","C","2","MC","NonNative","31","3","1","Pa4-Pa2","3105.50",1,"Same","Same","CR"
"C,5,RT","C","5","RT","NonNative","23","2","3","Pa4-Ba3","3504.88",1,"Different","Different","Hit"
"C,5,RT","C","5","RT","NonNative","22","2","2","Ba5-Ba2","3560.31",1,"Same","Same","CR"
"C,5,RT","C","5","RT","NonNative","21","2","1","Pa5-Pa2","3879.93",1,"Same","Same","CR"
"C,5,RT","C","5","RT","NonNative","24","2","4","Ba3-Pa4","3104.38",1,"Different","Different","Hit"
"C,5,RT","C","5","RT","NonNative","13","1","3","Pa2-Ba2","3090.59",1,"Different","Different","Hit"
"C,5,RT","C","5","RT","NonNative","14","1","4","Ba5-Pa4","3212.04",1,"Different","Different","Hit"
"C,5,RT","C","5","RT","NonNative","11","1","1","Pa2-Pa4","2795.51",1,"Same","Same","CR"
"C,5,RT","C","5","RT","NonNative","12","1","2","Ba2-Ba3","3153.79",1,"Same","Same","CR"
